employer_name,posting_url,location_state,location_city,employment_type,job_title,created_at,expiration_date,apply_start
Trip.com Group,https://app.joinhandshake.com/jobs/9257355,,Shanghai,Full-Time,Business Data Analysis（Only for Chinese students）,2024-09-03T01:33:46.496-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Data-Core Systems Inc.,https://app.joinhandshake.com/jobs/9276281,Pennsylvania,Harrisburg,Full-Time,Junior Data Scientist,2024-09-06T16:32:59.567-04:00,2024-11-30T06:00:00.000-05:00,2024-09-06T06:00:00.000-04:00
TikTok Inc.,https://app.joinhandshake.com/jobs/9105471,California,San Jose,Full-Time,Machine Learning Engineer Intern (Foundation Model Applications)- 2024 Off-Cycle (PHD),2024-07-11T11:54:18.182-04:00,2025-01-11T07:00:00.000-05:00,2024-07-11T08:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/8847033,Maryland,Rockville,Full-Time,Application Developer,2024-04-01T16:00:23.442-04:00,2024-10-01T06:00:00.000-04:00,2024-04-01T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223329,,,Part-Time,Front-end Developer Intern - Part time remote,2024-08-22T02:41:08.454-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9242268,,,Full-Time,Business Intelligence Engineer Summer Internship – 2025 (US),2024-08-27T23:04:51.583-04:00,2025-04-30T09:00:00.000-04:00,2024-08-27T09:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9180452,Colorado,Denver,Full-Time,"Software Engineer, New Grad - Denver",2024-08-08T11:00:29.382-04:00,2025-01-01T06:00:00.000-05:00,2024-08-08T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166983,,,Full-Time,Front-end Developer Intern,2024-08-05T03:03:57.879-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
GibsonAI,https://app.joinhandshake.com/jobs/8983297,,,Full-Time,"Software Engineer, AI",2024-05-17T09:59:54.035-04:00,2024-11-17T06:00:00.000-05:00,2024-05-17T06:00:00.000-04:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9213218,Alabama,Athens,Full-Time,Java Full Stack Developer,2024-09-06T12:43:59.303-04:00,2025-02-19T06:00:00.000-05:00,2024-08-19T06:00:00.000-04:00
Lica World,https://app.joinhandshake.com/jobs/9156899,California,Bay Area,Full-Time,Full Stack Engineer Intern,2024-07-31T15:04:26.753-04:00,2025-01-31T09:00:00.000-05:00,2024-07-31T09:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9214106,,,Full-Time,Technical Program Manager Summer Internship – 2025 (US),2024-08-20T09:14:30.547-04:00,2025-03-31T06:00:00.000-04:00,2024-08-20T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879451,,,Part-Time,Researcher/Data Analyst,2024-04-10T20:39:14.136-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
Owl Cyber Defense,https://app.joinhandshake.com/jobs/9211702,Maryland,Columbia,Full-Time,Engineering Intern,2024-08-19T14:20:36.537-04:00,2025-03-03T06:00:00.000-05:00,2024-09-03T06:00:00.000-04:00
"Google, Inc.",https://app.joinhandshake.com/jobs/9311365,New York,New York,Full-Time,"Customer Growth Associate, Google Customer Solutions (NYC)",2024-09-17T17:11:28.654-04:00,2024-10-01T07:00:00.000-04:00,2024-09-17T07:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9083315,New York,New York,Full-Time,"Software Engineer, New Grad - NY",2024-07-01T15:14:59.763-04:00,2024-12-02T06:00:00.000-05:00,2024-07-01T06:00:00.000-04:00
Gabriel AI,https://app.joinhandshake.com/jobs/8726309,,,Part-Time,Software Engineer Intern,2024-04-29T20:27:56.838-04:00,2024-12-19T10:00:00.000-05:00,2024-02-23T10:00:00.000-05:00
Qualtrics,https://app.joinhandshake.com/jobs/9305691,Utah,Provo,Full-Time,Product Specialist,2024-09-16T15:18:27.235-04:00,2025-03-16T08:00:00.000-04:00,2024-09-16T08:00:00.000-04:00
Data-Core Systems Inc.,https://app.joinhandshake.com/jobs/9086347,Pennsylvania,Harrisburg,Full-Time,Business Analyst,2024-07-02T14:30:19.815-04:00,2024-09-30T06:00:00.000-04:00,2024-07-02T06:00:00.000-04:00
Persona Identities,https://app.joinhandshake.com/jobs/9287939,California,San Francisco,Full-Time,Technical Leadership Program (San Francisco),2024-09-10T20:32:25.077-04:00,2024-09-29T09:00:00.000-04:00,2024-09-10T09:00:00.000-04:00
"RELI Group, Inc.",https://app.joinhandshake.com/jobs/9201079,Maryland,Catonsville,Part-Time,IT Support Intern,2024-08-15T09:25:51.403-04:00,2025-02-15T06:00:00.000-05:00,2024-08-15T06:00:00.000-04:00
Uber,https://app.joinhandshake.com/jobs/9301516,California,San Francisco Bay Area,Full-Time,Strategic Finance Intern,2024-09-13T16:00:41.190-04:00,2024-09-25T07:00:00.000-04:00,2024-09-13T07:00:00.000-04:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9271456,Ohio,Ohio City,Full-Time,DevOps Engineer,2024-09-06T11:33:29.467-04:00,2025-03-05T19:30:00.000-05:00,2024-09-05T20:30:00.000-04:00
xAI,https://app.joinhandshake.com/jobs/9185592,,,Full-Time,AI Tutor (Full-Time),2024-08-09T14:39:57.200-04:00,2024-09-30T06:00:00.000-04:00,2024-08-09T06:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/8965534,Maryland,Rockville,Full-Time,Programmer,2024-05-09T20:23:15.449-04:00,2024-11-09T06:00:00.000-05:00,2024-05-09T06:00:00.000-04:00
Persona Identities,https://app.joinhandshake.com/jobs/9287983,California,San Francisco Bay Area,Full-Time,Business Leadership Program (San Francisco),2024-09-10T21:12:31.533-04:00,2024-09-29T09:00:00.000-04:00,2024-09-10T09:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257375,,Shanghai,Full-Time,Eagle Program Trainee-Back-end Development Engineer（Only for Chinese students）,2024-09-03T02:33:26.073-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
TikTok Inc.,https://app.joinhandshake.com/jobs/9105440,Ontario,Toronto,Full-Time,Machine Learning Engineer Intern (Data-TnS-Algo) - 2024 Start (BS/MS/PhD),2024-07-11T11:48:33.435-04:00,2025-01-11T07:00:00.000-05:00,2024-07-11T08:00:00.000-04:00
TikTok Inc.,https://app.joinhandshake.com/jobs/9105557,California,San Jose,Full-Time,Research Scientist Intern (TikTok Core Recommendation) - 2024 Off-Cycle (PhD),2024-07-11T12:17:22.243-04:00,2025-01-11T07:00:00.000-05:00,2024-07-11T08:00:00.000-04:00
"IT-CNP, Inc.",https://app.joinhandshake.com/jobs/9258989,District of Columbia,Washington,Full-Time,IT Security Analyst,2024-09-03T12:28:08.848-04:00,2025-03-03T06:00:00.000-05:00,2024-09-03T06:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9084486,Washington,Seattle,Full-Time,"Software Engineer, Internship - Seattle",2024-07-01T20:43:22.990-04:00,2024-12-02T06:00:00.000-05:00,2024-07-01T06:00:00.000-04:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9310127,California,San Francisco,Full-Time,Android Developer,2024-09-17T14:53:23.781-04:00,2024-12-17T19:30:00.000-05:00,2024-09-17T20:30:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166982,,,Full-Time,Back-End Developer Intern,2024-08-05T03:00:34.507-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9081552,Pennsylvania,California,Full-Time,Salesforce Developer,2024-07-01T10:20:51.933-04:00,2025-02-26T19:30:00.000-05:00,2024-08-15T20:30:00.000-04:00
